Starting_Point,Ending_Point,PassCompletion,Team,TypeOfPass
"(59, 61)","(59, 61)",no pass attempted,Blue,Normal Pass
"(60, 61)","(60, 61)",no pass attempted,Blue,Normal Pass
"(60, 61)","(60, 61)",no pass attempted,Blue,Normal Pass
"(60, 61)","(60, 61)",no pass attempted,Blue,Normal Pass
"(60, 61)","(68, 55)",pass incomplete,Blue,Normal Pass
"(68, 55)","(68, 55)",no pass attempted,Green,Normal Pass
"(68, 55)","(68, 55)",no pass attempted,Green,Normal Pass
"(68, 55)","(68, 55)",no pass attempted,Green,Normal Pass
"(68, 55)","(68, 55)",no pass attempted,Green,Normal Pass
"(68, 56)","(68, 56)",no pass attempted,Green,Normal Pass
"(68, 55)","(68, 55)",no pass attempted,Green,Normal Pass
"(68, 56)","(68, 56)",no pass attempted,Green,Normal Pass
"(69, 57)","(69, 57)",no pass attempted,Green,Normal Pass
"(69, 57)","(69, 57)",no pass attempted,Green,Normal Pass
"(69, 57)","(69, 57)",no pass attempted,Green,Normal Pass
"(73, 57)","(73, 57)",no pass attempted,Blue,Normal Pass
"(73, 57)","(73, 57)",no pass attempted,Blue,Normal Pass
"(73, 57)","(73, 57)",no pass attempted,Blue,Normal Pass
"(73, 56)","(73, 56)",no pass attempted,Blue,Normal Pass
"(77, 49)","(88, 45)",pass completed,Blue,Normal Pass
"(88, 45)","(71, 31)",pass incomplete,Blue,Normal Pass
"(71, 31)","(77, 49)",pass completed,Green,Normal Pass
"(77, 49)","(71, 30)",pass completed,Green,Normal Pass
"(71, 30)","(71, 30)",no pass attempted,Green,Normal Pass
"(72, 31)","(72, 31)",no pass attempted,Green,Normal Pass
"(79, 27)","(79, 27)",no pass attempted,Green,Normal Pass
"(79, 27)","(79, 27)",no pass attempted,Green,Normal Pass
"(79, 27)","(79, 27)",no pass attempted,Green,Normal Pass
"(79, 27)","(79, 27)",no pass attempted,Green,Normal Pass
"(79, 27)","(79, 27)",no pass attempted,Green,Normal Pass
"(79, 26)","(79, 26)",no pass attempted,Green,Normal Pass
"(79, 26)","(79, 26)",no pass attempted,Green,Normal Pass
"(79, 26)","(79, 26)",no pass attempted,Green,Normal Pass
"(79, 26)","(79, 26)",no pass attempted,Green,Normal Pass
"(79, 26)","(79, 26)",no pass attempted,Green,Normal Pass
"(81, 26)","(81, 26)",no pass attempted,Green,Normal Pass
"(81, 26)","(81, 26)",no pass attempted,Green,Normal Pass
"(81, 26)","(81, 26)",no pass attempted,Green,Normal Pass
"(81, 26)","(81, 26)",no pass attempted,Green,Normal Pass
"(81, 26)","(81, 26)",no pass attempted,Green,Normal Pass
"(81, 26)","(81, 26)",no pass attempted,Green,Normal Pass
"(81, 26)","(81, 26)",no pass attempted,Green,Normal Pass
"(81, 26)","(81, 26)",no pass attempted,Green,Normal Pass
"(81, 26)","(81, 26)",no pass attempted,Green,Normal Pass
"(82, 25)","(82, 25)",no pass attempted,Green,Normal Pass
"(82, 25)","(82, 25)",no pass attempted,Green,Normal Pass
"(82, 25)","(82, 25)",no pass attempted,Green,Normal Pass
"(83, 25)","(83, 25)",no pass attempted,Green,Normal Pass
"(83, 25)","(83, 25)",no pass attempted,Green,Normal Pass
"(83, 25)","(83, 25)",no pass attempted,Green,Normal Pass
"(83, 25)","(79, 46)",pass incomplete,Green,Normal Pass
"(79, 46)","(83, 26)",pass completed,Blue,Normal Pass
"(83, 26)","(95, 36)",pass completed,Blue,Normal Pass
"(95, 36)","(79, 46)",pass completed,Blue,Normal Pass
"(79, 46)","(95, 36)",pass completed,Blue,Normal Pass
"(95, 36)","(95, 36)",no pass attempted,Blue,Normal Pass
"(95, 36)","(95, 36)",no pass attempted,Blue,Normal Pass
"(95, 36)","(95, 36)",no pass attempted,Blue,Normal Pass
"(95, 36)","(95, 36)",no pass attempted,Blue,Normal Pass
"(95, 36)","(95, 36)",no pass attempted,Blue,Normal Pass
"(94, 37)","(94, 37)",no pass attempted,Blue,Normal Pass
"(94, 37)","(94, 37)",no pass attempted,Blue,Normal Pass
"(94, 37)","(94, 37)",no pass attempted,Blue,Normal Pass
"(93, 37)","(93, 37)",no pass attempted,Blue,Normal Pass
"(93, 37)","(93, 37)",no pass attempted,Blue,Normal Pass
"(93, 37)","(93, 37)",no pass attempted,Blue,Normal Pass
"(91, 37)","(91, 37)",no pass attempted,Blue,Normal Pass
"(91, 37)","(91, 37)",no pass attempted,Blue,Normal Pass
"(91, 37)","(91, 37)",no pass attempted,Blue,Normal Pass
"(90, 37)","(90, 37)",no pass attempted,Blue,Normal Pass
"(90, 37)","(90, 37)",no pass attempted,Blue,Normal Pass
"(90, 37)","(90, 37)",no pass attempted,Blue,Normal Pass
"(90, 37)","(77, 44)",pass incomplete,Blue,Normal Pass
"(77, 44)","(90, 37)",pass completed,Green,Normal Pass
"(90, 37)","(75, 62)",pass incomplete,Green,Normal Pass
"(75, 62)","(75, 62)",no pass attempted,Blue,Normal Pass
"(75, 62)","(75, 62)",no pass attempted,Blue,Normal Pass
"(75, 62)","(75, 62)",no pass attempted,Blue,Normal Pass
"(75, 62)","(75, 62)",no pass attempted,Blue,Normal Pass
"(75, 62)","(75, 62)",no pass attempted,Blue,Normal Pass
"(75, 62)","(75, 45)",pass incomplete,Blue,Normal Pass
"(75, 45)","(75, 62)",pass completed,Green,Normal Pass
"(75, 62)","(75, 62)",no pass attempted,Blue,Normal Pass
"(75, 62)","(75, 62)",no pass attempted,Blue,Normal Pass
"(75, 61)","(75, 61)",no pass attempted,Blue,Normal Pass
"(76, 62)","(73, 43)",pass completed,Blue,Normal Pass
"(73, 44)","(73, 44)",no pass attempted,Blue,Normal Pass
"(73, 43)","(55, 53)",pass completed,Blue,Normal Pass
"(55, 53)","(55, 53)",no pass attempted,Blue,Normal Pass
"(55, 53)","(55, 53)",no pass attempted,Blue,Normal Pass
"(55, 53)","(55, 53)",no pass attempted,Blue,Normal Pass
"(55, 53)","(55, 53)",no pass attempted,Blue,Normal Pass
"(55, 53)","(55, 53)",no pass attempted,Blue,Normal Pass
"(55, 52)","(55, 52)",no pass attempted,Blue,Normal Pass
"(55, 52)","(55, 52)",no pass attempted,Blue,Normal Pass
"(55, 53)","(55, 53)",no pass attempted,Blue,Normal Pass
